Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Central Proteina Prima Tbk.",CPRO,"Animal Feed",30/09/2019," December",59.57,2980,45.5,5510,6430,6060,372.34,186.42,376.53,-300.31,0,-7,123,6,4,1,6,0,-7.14,0.41,8.33,11.98,0,0.1827,0.0683,-0.0545,-0.1823,-1.0753,-0.0622,16.2694,0.0161,0.1767,0.3534
"Citra Tubindo Tbk.",CTBN,"Metal And Allied Products",31/03/2020," December",0.80037,1960,2047.6,361.34,2150.96,715.26,1435.42,8.89,16.38,18.76,0,93.8,1806,1793.4,44.8,187.6,1793.4,0,22.38,1.16,1.17,47.07,0,0.2589,0.0455,0.0518,0.061,0.0522,0.0348,0.4983,0.2555,0.5727,2.1609
"Duta Pertiwi Nusantara Tbk.",DPNS,Chemicals,31/03/2020," December",0.33113,90.73,89,25.56,327.71,44.23,248.55,13.68,-1.13,2.52,6,30,309,751,165,190,856,0.0219,9.13,0.89,0.36,1.66,0.2,0.2091,-0.0441,0.0987,0.2065,0.0406,0.0307,0.1779,4.5343,10.5101,14.0982
"Ekadharma International Tbk.",EKAD,Chemicals,31/03/2020," December",0.69878,754.68,2741.7,192.27,1010,117.02,868.2,68.83,40.39,29.94,30,171,1101,1242,394,310,1282,0.0278,6.32,0.98,0.87,2.74,0.1754,0.3357,0.21,0.1557,0.1826,0.1379,0.1182,0.1348,3.0003,5.0278,7.2368
"Megalestari Epack Sentosaraya",EPAC,"Ceramics, Glass, Porcelain",31/12/2019," December",3.3,971.2,267.3,200.54,309.5,156.71,152.89,-14.97,18.69,2.54,0,1,61,46,-5,10,46,0,294,4.84,6.39,-64.89,0,0.1577,0.0932,0.0126,-0.0474,0.0166,0.0082,1.025,0.2749,0.7802,1.0549
"Sinergi Inti Plastindo Tbk.",ESIP," Plastics & Packaging",31/03/2020," December",0.64,127.36,122.1,11.39,75.72,23.69,52.04,0.42013,0.99065,0.36908,0,2,71,81,3,1,81,0,99.5,2.8,2.46,75.79,0,0.1675,0.087,0.0324,-0.0109,0.0283,0.0194,0.4552,0.0477,0.4906,1.6933
"Surya Esa Perkasa Tbk.",ESSA,"Coal Mining",30/06/2020," December",14.3,2230,290.4,1340.92,11993.1,7887.04,2496.48,396.2,2.21,93.38,0,-14,187.6,175,56,128.8,287,0,-11.67,0.83,0.89,2.8,0,0.0851,0.00016,-0.0706,-0.3292,-0.0759,-0.0158,3.1592,1.5181,1.7216,1.9355
"Eterindo Wahanatama Tbk",ETWA,Chemicals,30/09/2019," December",0.9683,70.69,6,186.31,1130,1470,-338.87,3.63,-35.14,-79.88,0,-110,257,-350,5,2,-350,0,-0.66,0.28,-0.21,14.62,0,-0.134,-0.1886,-0.4287,-0.7068,0.3143,-0.0944,-4.3276,0.0022,0.0686,0.0736
"Fajar Surya Wisesa Tbk.",FASW,"Pulp & Paper",31/03/2020," December",2.48,18090,1672.9,2000,11690,7780,3910,219.1,218.91,-324.57,184,-524,3224,1577,354,330,1577,0.0252,-13.93,2.26,4.63,20.64,-0.3511,0.169,0.1095,-0.1624,-0.2735,-0.3322,-0.111,1.9907,0.1842,0.5507,0.7579
"Lotte Chemical Titan Tbk.",FPNI,"Metal And Allied Products",31/03/2020," December",5.57,517.68,28.2,982.1,2391.06,1125.46,1263.92,118.44,-88.48,-124.74,0,-89.6,705.6,226.8,85.4,29.4,226.8,0,-0.89,0.11,0.35,0.93,0,-0.0551,-0.09,-0.127,-0.1687,-0.3949,-0.2087,0.8904,0.1615,0.4546,1.0906
