Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Bank Mandiri (Persero) Tbk.",BMRI,Bank,31/03/2020," December",46.67,241500,1559.3,30680,1320040,1142600,173510,173.51,8990,7920,353.342,679,2629,3718,2915,1709,3802,0.0683,7.62,1.97,1.39,1.78,0.5204,0,0.2932,0.258,0,0.1824,0.0239,6.5853,0.0739,1.1313,1.1313
"Bank Bumi Arta Tbk.",BNBA,Bank,31/03/2020," December",2.31,669.9,181.3,170.66,7920,6430,1490,1.49,11.22,9.3,11,16,296,645,214,187,645,0.0379,18.13,0.98,0.45,1.36,0.6875,0,0.0657,0.0544,0,0.0249,0.0046,4.3126,0.0674,1.0942,1.0942
"Bank CIMB Niaga Tbk.",BNGA,Bank,31/03/2020," December",25.13,20860,6.1,5990,274520,234490,40010,40.01,914.96,1060,55.39,168,953,1592,-293,556,1593,0.0667,4.94,0.87,0.52,-2.83,0.3297,0,0.1527,0.1761,0,0.1054,0.0153,5.8602,0.0599,1.1027,1.1027
"Bank Maybank Indonesia Tbk.",BNII,Bank,31/03/2020," December",76.12,12260,1.9,4100,181470,155820,25250,25.25,671.63,538.17,4.83505,28,215,332,463,153,337,0.03,5.75,0.75,0.48,0.35,0.1727,0,0.1637,0.1312,0,0.0852,0.0118,6.1711,0.08,1.0365,1.0365
"Bank Permata Tbk.",BNLI,Bank,31/03/2020," December",28.04,36030,14,3420,167390,144150,23250,23.25,182.85,1.74,0,0,487,829,487,425,829,0,0,2.64,1.55,2.64,0,0,0.0535,0.0005,0,0.0002,0,6.2008,0.0828,0.9955,0.9955
"Batavia Prosperindo Finance Tb",BPFI,"Financial Institution",31/03/2020," December",1.78,2110,1263.7,80.04,1830,989.77,837.72,0.83772,58.23,18.39,16.83,41,180,470,258,69,470,0.0142,28.9,6.6,2.52,4.6,0.4105,0,0.7274,0.2297,-0.0358,0.0878,0.0402,1.1815,0.3324,0,4.5619
"Batavia Prosperindo Internasio",BPII,"Others - Finance",31/03/2020," December",0.56222,5620,2000,238.78,2630,1380,962.02,0.96202,76.52,25.12,0,179,1699,1711,1217,386,2212,0,55.87,5.89,5.84,8.22,0,0,0.3204,0.1051,0.0133,0.1044,0.0382,1.4371,0.405,3.6343,3.6349
"Bank BRIsyariah Tbk.",BRIS,Bank,31/03/2020," December",9.72,4610,474,1020,42230,37060,5170,5.17,101.93,75.16,1.09714,31,421,532,-1292,292,532,0.0023,15.29,1.13,0.89,-0.37,0.0354,0,0.0997,0.0735,0,0.0581,0.0071,7.174,0.0766,0.3209,0.3209
"Bank Sinarmas Tbk.",BSIM,Bank,31/03/2020," December",17.44,9070,353,1270,39380,33920,5540,5.54,-267.75,32.59,0,7,291,318,657,161,313,0,74.29,1.79,1.64,0.79,0,0,-0.2109,0.0256,0,0.0235,0.0033,6.1189,0.0829,0.9071,0.9071
"Bank Of India Indonesia Tbk.",BSWD,Bank,31/03/2020," December",1.39,2430,1306.7,71.95,4030,2900,1120,1.12,3.71,5.6,0,16,207,810,169,176,810,0,109.38,8.44,2.16,10.35,0,0,0.0516,0.0778,0,0.0199,0.0055,2.5814,0.0843,0.9329,0.9329
"Bank BTPN Tbk.",BTPN,Bank,31/03/2020," December",8.15,17600,418.1,5040,199670,167960,29980,29.98,1160,752.12,0,369,2474,3680,-3530,1233,3891,0,5.85,0.87,0.59,-0.61,0,0,0.2296,0.1492,0,0.1003,0.015,5.6017,0.083,1.6045,1.6045
"Bank BTPN Syariah Tbk.",BTPS,Bank,31/03/2020," December",7.7,24650,3200,1190,16000,10220,5780,5.78,537.33,402.3,45,209,618,750,441,173,750,0.0141,15.31,5.18,4.27,7.25,0.2153,0,0.4515,0.338,0,0.2783,0.1005,1.7684,0.1301,0.6227,0.6227
"Bank Victoria International Tb",BVIC,Bank,31/03/2020," December",8.95,617.68,65.2,543.12,26930,24290,2640,2.64,-93.78,6.95,0,3,243,295,-394,193,295,0,23,0.28,0.23,-0.18,0,0,-0.1726,0.0127,0,0.0105,0.001,9.1847,0.071,1.016,1.016
"Capital Financial Indonesia Tb",CASA,"Others - Finance",31/03/2020," December",54.48,20590,236.3,102.8,32290,24710,6430,6.43,-5.8,-0.697,0,0,8,118,-122,3,139,0,0,50.08,3.2,-3.1,0,0,-0.0564,-0.0067,-10.6748,-0.0004,0,3.8441,0.0074,0,1.1694
"Clipan Finance Indonesia Tbk.",CFIN,"Financial Institution",31/03/2020," December",3.98,769.01,15.1,461.62,11880,7090,4790,4.79,360.41,93.23,0,94,463,1201,233,11,1201,0,2.05,0.42,0.16,0.83,0,0,0.7807,0.2019,-0.0883,0.0779,0.0314,1.4813,0.0185,0,4.7656
"Danasupra Erapacific Tbk.",DEFI,"Financial Institution",31/03/2020," December",0.68727,1230,3602.8,1.56,100.86,0.72535,100.13,0.10013,0.66882,0.61482,0,4,9,146,-6,28,146,0,448.75,198.3,12.29,-299.52,0,0,0.4302,0.3954,0.4248,0.0245,0.0243,0.0072,114.466,0,607.497
"Bank Oke Indonesia Tbk.",DNAR,Bank,31/03/2020," December",8.88,2250,230.9,109.39,4840,2830,2010,2.01,3.44,3.37,0,2,49,226,-298,18,226,0,127,5.15,1.12,-0.85,0,0,0.0314,0.0307,0,0.0067,0.0027,1.4128,0.055,1.5764,1.5764
"First Indo American Leasing Tb",FINN,"Financial Institution",30/09/2019," December",1.86,93.01,47.6,84.32,826.67,607.74,218.93,0.21893,43.56,-39.4,0,-28,60,118,85,2,118,0,-1.79,0.83,0.42,0.59,0,0,0.5166,-0.4673,-1.1852,-0.2399,-0.0635,2.776,0.0077,0,1.3576
