Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Samudera Indonesia Tbk.",SMDR,Transportation,31/03/2020," December",3.28,753.28,923,1875.86,7007.14,3757.46,2218.86,2.218,119.14,26.04,8,32.2,2291.8,677.6,25.2,280,992.6,0.0348,6.16,0.09,0.29,7.68,0.2162,0.1335,0.0634,0.0139,-0.0021,0.047,0.0148,1.6935,0.3787,1.2381,1.2549
"Soechi Lines Tbk.",SOCI,Transportation,31/03/2020," December",7.06,917.67,23.6,500.36,9532.32,4821.46,4706.94,4.706,128.66,13.59,2,8.4,284.2,666.4,2.8,57.4,667.8,0.0154,14.44,0.39,0.17,52.95,0.2222,0.3314,0.257,0.0271,-0.1281,0.0115,0.0057,1.0243,0.8033,2.6591,2.9396
"Solusi Tunas Pratama Tbk.",SUPR,"Non Building Construction",31/03/2020," December",1.14,5520,143.4,463.67,12890,9730,3160,3.16,255.17,70.55,0,248,1630,2776,3151,600,2776,0,19.56,2.97,1.75,1.54,0,0.6543,0.5503,0.1521,-0.2598,0.0893,0.0218,3.0819,0.3841,0.8776,0.9033
"Pelayaran Tamarin Samudra Tbk.",TAMU,Transportation,31/03/2020," December",37.5,2250,548.2,55.16,1208.06,630.42,616.56,0.616,6.195,1.196,0,0,5.6,16.8,2.8,0,15.4,0,366.59,8.73,3.13,16.66,0,0.2135,0.1124,0.0217,-0.0711,0.0077,0.0039,1.0224,0.0605,0,0.2212
"Epress Transindo Utama Tbk.",TAXI,Transportation,31/03/2020," December",6.15,307.28,8.9,15.78,382.49,901.72,-485.02,-0.48502,-31.39,-31.96,0,-21,10,-79,-10,6,-84,0,-2.38,4.87,-0.63,-4.84,0,-1.6828,-1.989,-2.0247,-1.7819,0.2635,-0.3341,-1.8591,0.2526,1.2496,1.2637
"Tower Bersama Infrastructure T",TBIG,"Non Building Construction",31/03/2020," December",22.66,25490,277.8,1260,34060,29040,4460,4.46,943.29,228.54,28,40,223,197,350,35,222,0.0249,28.13,5.05,5.71,3.21,0.7,0.8318,0.7475,0.1811,-0.1993,0.2049,0.0268,6.5115,0.1478,0.447,0.4534
"Transcoal Pacific Tbk.",TCPI,Transportation,31/03/2020," December",5,18700,3740,455.75,2970,1520,1360,1.36,69.39,22.13,15.5,18,365,272,45,23,290,0.0041,207.78,10.26,13.75,83.42,0.8611,0.2137,0.1522,0.0485,-0.0053,0.065,0.0297,1.1184,0.1203,0.9169,0.9451
"Dana Brata Luhur Tbk.",TEBE,"Toll Road, Airport, Harbor And",31/03/2020," December",1.29,1810,128.3,50.17,876.83,222.97,648.72,0.64872,-1.68,-5.67,0,-18,156,505,118,40,509,0,-78.06,9,2.78,11.87,0,0.0915,-0.0334,-0.113,-0.2151,-0.0349,-0.0258,0.3437,0.4473,1.2101,1.2478
"Terregra Asia Energy Tbk.",TGRA,Energy,31/03/2020," December",2.75,189.75,34.5,2.85,572.22,232.38,304.32,0.30432,-1.51,2.84,0,4,4,111,-43,6,124,0,17.25,16.64,0.62,-1.6,0,0.3992,-0.5315,0.9975,0.1546,0.0373,0.0198,0.7636,0.4362,0,1.0543
"Telekomunikasi Indonesia (Pers",TLKM,Telecommunication,31/03/2020," December",99.06,308080,1634.4,34190,241910,115370,106450,106.45,13480,5860,154.068,237,1381,1075,711,246,1277,0.0495,13.12,2.25,2.89,4.38,0.6501,0,0.3942,0.1714,0.2062,0.2202,0.0969,1.0838,0.3804,0.8507,0.8613
"Temas Tbk.",TMAS,Transportation,31/03/2020," December",5.71,599.04,241.5,706.85,3490,2290,1190,1.19,103.42,3.86,3.6,3,496,208,73,12,211,0.0343,35,0.21,0.5,1.44,1.2,0.1901,0.1463,0.0054,-0.0275,0.013,0.0044,1.9298,0.0596,0.425,0.5001
"Trimuda Nuansa Citra Tbk.",TNCA,Transportation,31/03/2020," December",0.42164,67.46,160,19.74,52.58,10.03,42.56,0.04256,0.32172,0.35151,0,3,187,101,1,18,101,0,53.33,0.85,1.58,147.93,0,0.2318,0.0163,0.0178,0.0252,0.033,0.0267,0.2357,1.9088,12.4615,12.4899
"Sarana Menara Nusantara Tbk.",TOWR,"Non Building Construction",31/03/2020," December",51.01,54330,5089.6,1820,32520,23170,9310,9.31,1140,518.96,23.86,41,143,182,149,18,183,0.0224,25.98,7.46,5.85,7.15,0.582,0.7141,0.6267,0.2851,0.1425,0.2229,0.0638,2.4889,0.1316,0,0.4275
"Trans Power Marine Tbk.",TPMA,Transportation,31/03/2020," December",2.63,853.19,140.9,191.1,1553.86,430.22,11236.4,1.123,37.52,16.8,26.6,25.2,289.8,427,5.6,23.8,427,0.0821,10.88,0.95,0.65,48.28,0.8867,0.2681,0.1961,0.0876,0.0736,0.0596,0.0431,0.3829,0.2155,0.9652,0.988
"Guna Timur Raya Tbk.",TRUK,Transportation,31/03/2020," December",0.435,54.38,125,12.02,95.41,24.66,70.75,0.07075,-1.4,-2.08,0,-19,110,163,18,4,163,0,-6.58,1.13,0.77,7.1,0,0.0725,-0.1165,-0.1729,-0.2076,-0.1174,-0.0871,0.3485,0.0886,0.7641,0.7681
"WEHA Transportasi Indonesia Tb",WEHA,Transportation,31/03/2020," December",0.88641,72.69,35.8,27.21,254.18,112.11,141.75,0.14175,-10.87,-9.77,0,-44,123,160,28,4,160,0,-1.86,0.67,0.51,2.92,0,0.0508,-0.3992,-0.3589,-0.5249,-0.2756,-0.1537,0.7909,0.0951,0.4077,0.4357
"Wintermar Offshore Marine Tbk.",WINS,Transportation,31/03/2020," December",4.24,394.6,25.1,181.02,3411.38,1232.14,1902.46,1.90246,-3.246,-0.29,0,0,170.8,448,22.4,70,513.8,0,-284.11,0.47,0.18,3.64,0,0.0994,-0.0179,-0.0016,-0.0595,-0.0006,-0.0003,0.6476,0.0345,0.6494,0.6506
