Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Gowa Makassar Tourism Developm",GMTD,"Property And Real Estate",31/03/2020," December",0.10154,1830,3126.1,39.81,1110,419.17,687.85,6.39,1.2,-2.32,20,-91,1568,6774,252,229,6774,0.0011,-197.53,11.46,2.65,71.43,-0.2198,0.5254,0.0301,-0.0582,-0.1261,-0.0134,-0.0083,0.6094,0.0799,0.4163,1.6312
"Perdana Gapuraprima Tbk.",GPRA,"Property And Real Estate",31/03/2020," December",4.28,222.39,22.4,60.02,1820,786.78,971.2,0.06474,3.51,-7.99,1,-7,56,227,0,18,242,0.0192,-7.43,0.93,0.23,858.79,-0.1429,0.6424,0.0585,-0.1331,-0.3234,-0.0329,-0.0175,0.8101,0.1762,0.4331,3.5351
"Greenwood Sejahtera Tbk.",GWSA,"Property And Real Estate",31/03/2020," December",7.8,858.08,44,14.01,7630,574.03,7000,-35.25,-8.97,41.68,0,21,7,897,-18,39,905,0,5.24,15.31,0.12,-6.09,0,0.6065,-0.6404,2.9745,2.5115,0.0238,0.0218,0.082,0.8681,0.9998,3.6542
"Indonesia Pondasi Raya Tbk.",IDPR,"Building Construction",31/03/2020," December",2,336.5,13.1,205.25,1910,755.38,1150,-2.34,-49.54,-53.75,10,-107,410,572,-5,23,576,0.0595,-1.57,0.41,0.29,-35.88,-0.0935,-0.122,-0.2413,-0.2618,-0.3178,-0.1875,-0.1126,0.659,0.1071,1.4199,2.2205
"Royalindo Investa Wijaya Tbk.",INDO,"Property And Real Estate",31/03/2020," December",4.31,508.47,107.3,0.7801,1050,125.07,927.19,52.12,0.7801,44.66,0,41,1,215,48,205,215,0,2.88,162.95,0.55,2.44,0,0,1,57.2615,57.2541,0.1926,0.1697,0.1349,7.0466,0,7.2062
"Indonesian Paradise Property T",INPP,"Tourism, Restaurant And Hotel",31/03/2020," December",11.18,7830,666.7,192.18,7940,1600,5720,26.83,23.74,-2.62,4.5,-1,69,512,10,42,566,0.0064,-700,10.18,1.37,72.94,-4.5,0.6679,0.1235,-0.0136,-0.1606,-0.0018,-0.0013,0.2804,1.5818,2.0278,2.4526
"Jaya Konstruksi Manggala Prata",JKON,"Building Construction",31/03/2020," December",16.31,5710,289.7,706.51,4960,2300,2630,-77.64,-22.56,-29.96,3.3,-7,173,161,-19,20,163,0.0094,-50,2.02,2.17,-18.38,-0.4714,0.1198,-0.0319,-0.0424,-0.0526,-0.0455,-0.0241,0.8738,0.1607,1.1013,1.3435
"Jaya Real Property Tbk.",JRPT,"Property And Real Estate",31/03/2020," December",13.75,5720,400,509.01,11540,4050,7170,122.66,207.21,207.18,24,60,148,522,36,68,545,0.0577,6.93,2.81,0.8,11.66,0.4,0.5827,0.407,0.407,0.3874,0.1155,0.0718,0.5641,0.2531,0,1.1257
"Karya Bersama Anugerah Tbk.",KBAG,"Property And Real Estate",30/09/2019," December",7.15,2870,402,15.98,248.17,75.28,172.76,-1.85,2.77,0.61381,0,0,3,24,0,0,24,0,0,134.88,16.75,-1168.03,0,0.4365,0.1733,0.0384,-0.0545,0.0047,0.0032,0.4358,0.0354,0.0635,1.193
"Kawasan Industri Jababeka Tbk.",KIJA,"Property And Real Estate",31/03/2020," December",20.82,3040,5.1,473.73,12210,6710,4590,-17.84,44.49,-754.13,0,-145,91,220,-3,44,264,0,-1.01,1.6,0.66,-42.6,0,0.3431,0.0939,-1.5919,-1.8791,-0.6577,-0.2469,1.4629,0.6088,1.3436,5.6488
"DMS Propertindo Tbk.",KOTA,"Property And Real Estate",31/03/2020," December",10.54,6640,315,2.8,1590,292.12,1290,5.62,-8.03,-8.54,0,-3,1,123,2,0,123,0,-210,591.91,5.12,295.18,0,0.5757,-2.8623,-3.0459,-3.4544,-0.0264,-0.0215,0.2262,0.0069,1.0559,1.1107
"Trimitra Propertindo Tbk.",LAND,"Property And Real Estate",31/03/2020," December",2.79,619.96,222,9.37,720.43,179.55,540.88,5.08,4.28,-0.96106,0,-1,13,194,7,14,194,0,-222,16.53,1.14,30.5,0,0,0.4562,-0.1025,-0.7313,-0.0071,-0.0053,0.332,0.2574,0.8501,1.1566
"Eureka Prima Jakarta Tbk.",LCGP,"Property And Real Estate",31/03/2020," December",5.63,641.82,91.2,0.90909,1640,41.17,1600,-0.06484,-1.47,-1.38,0,-1,1,284,0,0,283,0,-114,176.5,0.4,-2474.5,0,0.6763,-1.6127,-1.5236,-1.4984,-0.0034,-0.0033,0.0258,0.0161,25.4288,38.9943
"Lippo Cikarang Tbk",LPCK,"Property And Real Estate",31/03/2020," December",2.68,2170,91.3,574.38,13900,2940,10760,-15.17,196.84,793.58,0,1185,857,4015,-23,300,4089,0,0.68,0.94,0.2,-35.76,0,0.4692,0.3427,1.3816,1.3809,0.295,0.2283,0.2734,0.2789,0.5296,0.6146
