Date,Open,High,Low,Close,Adj Close,Volume
2018-02-28,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,200
2018-03-01,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-02,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-05,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-06,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-07,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-08,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-09,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-12,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-13,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-14,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-15,1385.000000,1385.000000,1200.000000,1200.000000,1125.818237,24800
2018-03-16,1205.000000,1250.000000,1205.000000,1250.000000,1172.727295,500
2018-03-19,1200.000000,1250.000000,1200.000000,1250.000000,1172.727295,1700
2018-03-20,1280.000000,1280.000000,1255.000000,1255.000000,1177.418213,300
2018-03-21,1350.000000,1400.000000,1350.000000,1400.000000,1313.454590,1500
2018-03-22,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-23,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-26,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-27,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-28,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-29,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-03-30,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-04-02,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,100
2018-04-03,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,700
2018-04-04,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-04-05,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-04-06,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-04-09,1400.000000,1400.000000,1400.000000,1400.000000,1313.454590,0
2018-04-10,1400.000000,1450.000000,1400.000000,1430.000000,1341.599976,9500
2018-04-11,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-12,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-13,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-16,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-17,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-18,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-19,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
